AÑO;MES;ID;GENERO;MUJERES;HOMBRES;OCUPACION2;RESPONSABLE;ESTAMENTO;Rango Edad;Rango Antiguedad
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;0;Directivos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO ESPECIALISTA;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO TERRENO;0;Operarios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;1. Menos de 3 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;2. Entre 3 y 6 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ADMINISTRATIVO;0;Administrativos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ANALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;5. Entre 61 y 70 años;4. Entre 9 y 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;2. Entre 30 y 40 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;6. Mayor a 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ADMINISTRATIVO;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;5. Entre 61 y 70 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;4. Entre 51 y 60 años;3. Más de 6 y menos de 9 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;2. Entre 3 y 6 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;GESTOR;1;Mandos Medios;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;SECRETARIA;0;Administrativos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;ANALISTA;0;Profesionales;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO TERRENO;0;Operarios;4. Entre 51 y 60 años;5. Más de 12 años
2010;12-dic;15;Femenino;15;0;ESPECIALISTA;0;Profesionales;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;TECNICO;0;Técnicos;3. Entre 41 y 50 años;5. Más de 12 años
2010;12-dic;15;Masculino;0;1;Manager;1;Directivos;4. Entre 51 y 60 años;5. Más de 12 años
